"","Sample","text"
"16",1,"My attempt to reorder the columns. https://t.co/ox6jrlRgXG and used the ggtheme package for more fill contrast. #r4ds #dataviz #tidytuesday https://t.co/J7P0zfhNGR"
"17",1,"@Niels_Bremen Nice! My second favorite might be this one on #tidytuesday tweets themselves, but there are many other runner-ups like Medium titles, TV show ratings, and board games. https://t.co/q4jwBh9FYv"
"18",1,"Still more #tidytuesday promotion, this time from @TannerKoomar. His plot is the next level for grid.arrange. Posts like these open new horizons in a reader’s mind about the limits of the possible in #rstats. Thanks Tanner. https://t.co/OqZanngS7e"
"19",1,"It's #TidyTuesday - let's explore all things dairy! https://t.co/X8ujoEACaz"
"20",1,"2000(!) #dataviz + #rstats code to recreate them!

Many thanks to @nsgrantham for the fantastic #tidytuesday Shiny app in https://t.co/0wAFtmBeST !! https://t.co/wMbVo84jw5 https://t.co/adGuXk93VV"
"21",1,"Meteorite Hits in Europe <U+2604><U+FE0F><U+0001F5FA><U+FE0F><U+0001F469><U+200D><U+0001F4BB>

#rstats #TidyTuesday #weareRladies https://t.co/5PmFKwZ9N5 https://t.co/JuwrNuqxYQ"
"22",1,"#JSON gods of #Rstats, has anyone an idea re: how to parse the data node from this JSON object with ~2 lines of code? tibble or data frame would be very much appreciated. #r4ds #TidyTuesday https://t.co/XhdWYJFNka"
"23",1,"The first #TidyTuesday sticker in the wild!! https://t.co/sUI0ax9EFp"
"24",1,"I love seeing your #TidyTuesday updates every week!  @thomas_mock https://t.co/5rEG5q6oWL"
"25",1,"#tidytuesday rolls on! Good luck working through this week's honey dataset! https://t.co/aR1mrzaSIC"
"26",1,"This would make for awesome #TidyTuesday data @R4DScommunity - might need to get it in open format though, let me find out https://t.co/PZKvFpDJf1"
"27",1,"#TidyTuesday is a success!! <U+0001F917> https://t.co/d0BIQdkjgk"
"28",1,"@R4DScommunity if you need a dataset for a #TidyTuesday... here's a good source for you. https://t.co/r8hmrYxqIF"
"29",1,"Today is the day - excited to be leading this Boston useR in person #TidyTuesday! See everyone soon! https://t.co/OKBMivAhvk"
"30",1,"I will certainly vouch for lubridate!! Helped me standardize the date data field, which you know everyone uses their own versions/formats. #TidyTuesday #Rstats https://t.co/ffVr06SvoD"
"31",1,"@fhsperformance gives us a nice summary of NFL positional salaries and jumps right into #TidyTuesday! https://t.co/sSDi2tF8G1"
"32",1,"#TidyTuesday week 27. Preparing some coffee and then I start to dig in. https://t.co/7JTOipbNQr"
"33",1,"Michael submitted a really good-looking dumbbell plot! Check out his code if you want to make your own dumbbell plot!
#TidyTuesday https://t.co/pIafu9V9Oh"
"34",1,"My first #TidyTuesday submission with community data in the US, here in the plot Community percentage vs Unemployment rate per State. As a general trend, counties with more white population have less Unemployment rate.
https://t.co/OrXxYO5OhI

#rstats #r4ds #tidyverse https://t.co/JB0GXmND2t"
"35",1,"It's officially #TidyTuesday ! 

h/t @verainstitute and alouisme for the data this week. https://t.co/ECtijTjOuH"
"36",1,"Woah...five minutes in and I've already added two new techniques to my toolbox and realized that I spent time cleaning the column names, when the original dataset already had done that. These are so valuable. #TidyTuesday https://t.co/IisfwZv65B"
"37",1,"Why I love #TidyTuesday! I made a map for the nobel set and it was...ok. But then I see this freaking amazing example which methodically solved all the challenges that I was having and I learned so damn much by working through your code! Thanks Meenakshi! https://t.co/3pI1wy5rx9"
"38",1,"Sam introduces us to the geofacet package, along with some elegant and tidy code! #TidyTuesday https://t.co/6HfbP63sty"
"39",1,"#TidyTuesday #datascience https://t.co/kYie0IhlCf"
"40",1,"I didn't know #TidyTuesday is a thing in the #rstats community. But it's a great way to get some chart inspiration out of twitter. For example: https://t.co/UG3MYCqV8v"
"41",1,"This is a fantastic job! Yesterday was a really wet and miserable day in Altrincham too. 
Very well done guys! <U+0001F44F><U+0001F44F><U+0001F44F>

#keepbritainclean #tidyupbritain #TidyTuesday #cleanstreets #cleantowns https://t.co/E8W7RfZHYE"
"42",1,"ICYMI week 15 of #tidytuesday ! https://t.co/IHXGDjdUpR"
"43",1,"#BeautyTuesday from the #TidyTuesday universe's wine ratings challenge. My favorite post was @RoedSimon90 with his comparison of wine ratings across tasters with &gt; 4000 tastings. Why? Easy to grasp key points, &amp; I'm fairly certain the bars are constructed from actual observations https://t.co/XWfP6bA4wJ"
"44",1,"Unpivotr::behead() &amp; tidyxl can recognize indent to make the cleaning of this week's #TidyTuesday data a bit easier! https://t.co/ZWmCAfV941"
"45",1,"This week's #tidytuesday dataset! https://t.co/0AzX5brPhP"
"46",1,"Throwback to my geofacet data viz on voter turnout. <U+0001F4CA> Getting the bars colored relative to election year was a challenge, and I experimented with the legend and used a new font (https://t.co/DB1oqfQi4H). If only there was less missing data! #MyFavTidy #TidyTuesday https://t.co/OYRjQekaUk"
"47",1,"It's #TidyTuesday y'all! https://t.co/7fodnuLJjK"
"48",1,"@thomas_mock are you kidding me?! You did that on purpose! As soon as you heard I had to skip this week (I saw your like!), you took data from the Womens World Cup? <U+0001F622><U+0001F923>

Mind you; half August my #TidyTuesday will contain this dataset! <U+2935><U+FE0F><U+26BD><U+FE0F><U+0001F1F3><U+0001F1F1> https://t.co/ZWqifTgzia"
"49",1,"If you’re not following #TidyTuesday this week you’re missing out on amazing Seattle pet content https://t.co/HXGJ1tYzFW"
"50",1,"#TidyTuesday in Spanish - check it out!

@r4ds_es https://t.co/Rq2YEG5RYJ"
